Axie_ID,Axie_Class,Plant,Beast,Bug,Bird,Reptile,Aquatic,Breed_Count,Level,Current_Price_Usd
8985438,Plant,6,0,0,0,0,0,5,5,10.0064495
8391393,Dusk,1,1,1,0,3,0,4,1,10.007233295
9830693,Dusk,0,1,2,0,3,0,4,1,10.02914141015139
4222161,Aquatic,0,0,0,0,0,6,4,10,10.032576
7722028,Aquatic,0,0,0,1,0,5,4,10,10.032576
5272832,Aquatic,0,0,1,0,0,5,4,1,10.032576
3140558,Aquatic,0,0,0,0,0,6,4,10,10.032576
656331,Aquatic,0,0,0,0,0,6,4,10,10.032576
7884675,Aquatic,0,0,1,0,0,5,4,10,10.032576
8007260,Aquatic,0,0,0,0,0,6,4,10,10.032576
11863016,Dusk,1,0,1,0,2,2,4,8,10.032576
11951592,Mech,0,0,0,3,2,1,4,1,10.03468841046627
4665721,Aquatic,2,0,1,0,0,3,4,11,10.03758761103395
11701108,Aquatic,1,3,0,0,0,2,4,1,10.0587025
1109008,Bird,0,0,0,6,0,0,4,1,10.0587025
6422313,Aquatic,0,0,0,0,0,6,4,1,10.0587025
11898684,Aquatic,1,0,0,0,0,5,4,6,10.075162195
9331918,Plant,5,0,0,0,1,0,5,1,10.08137041384548
953316,Plant,6,0,0,0,0,0,4,4,10.10207249
6266004,Reptile,0,1,0,2,3,0,4,2,10.1109555
11432241,Bird,1,1,0,4,0,0,4,1,10.1109555
10239560,Aquatic,0,1,1,0,1,3,4,4,10.11295771103857
4491260,Reptile,0,1,0,0,5,0,4,1,10.137082
11745890,Bug,1,1,0,1,0,3,4,1,10.137082
11742569,Bug,1,0,1,0,1,3,4,1,10.137082
11756322,Bug,0,2,0,0,1,3,4,1,10.137082
11700723,Bug,2,0,0,0,2,2,4,1,10.137082
11733501,Bug,0,2,1,0,2,1,4,1,10.137082
11710549,Bug,0,2,2,0,1,1,4,7,10.137082
11889490,Bug,0,1,3,1,1,0,4,1,10.137082
11758940,Bug,0,1,2,0,1,2,4,4,10.137082
177650,Bug,1,0,4,1,0,0,4,1,10.137082
647272,Plant,5,1,0,0,0,0,4,3,10.137082
376546,Reptile,0,1,1,0,4,0,4,1,10.137082
11907767,Reptile,0,0,1,0,4,1,4,1,10.137082
11908346,Bird,1,0,3,0,1,1,5,1,10.137082
8659007,Reptile,0,0,0,0,5,1,4,2,10.137082
11763561,Mech,0,2,1,0,1,2,4,5,10.137082
11583120,Plant,2,1,0,0,0,3,4,1,10.137082
11861650,Mech,1,3,0,1,0,1,4,1,10.137082
11793227,Plant,2,1,1,0,0,2,5,9,10.137082
11723450,Aquatic,1,0,2,0,1,2,5,1,10.137082
11678725,Aquatic,0,0,1,0,2,3,5,1,10.137082
11774716,Mech,0,1,0,1,2,2,5,1,10.137082
1021453,Plant,6,0,0,0,0,0,5,1,10.137082
11788044,Bug,2,0,3,1,0,0,5,3,10.137082
11720959,Bug,1,0,1,1,1,2,5,3,10.137082
11691916,Beast,1,3,0,0,0,2,4,2,10.137082
11783358,Beast,2,2,0,0,1,1,4,1,10.137082
11870218,Beast,1,1,2,0,2,0,4,1,10.137082
11406858,Reptile,1,0,0,1,4,0,4,1,10.137082
264087,Plant,5,1,0,0,0,0,4,2,10.137082
11668363,Bug,0,0,2,4,0,0,4,1,10.137082
11550539,Plant,4,1,0,1,0,0,4,1,10.137082
11765015,Dusk,0,1,2,1,0,2,4,1,10.137082
10769402,Dusk,1,1,0,0,2,2,4,1,10.137082
5652370,Dusk,0,1,1,1,2,1,4,1,10.137082
9574765,Plant,3,0,1,0,1,1,4,1,10.137082
11622801,Aquatic,0,0,0,4,1,1,4,1,10.137082
11502982,Beast,1,3,1,1,0,0,5,1,10.137082
11901325,Aquatic,0,0,1,0,3,2,4,1,10.137082
11626659,Plant,0,1,4,1,0,0,4,1,10.137082
11575139,Plant,1,0,2,3,0,0,4,4,10.137082
7960747,Plant,4,0,1,0,1,0,4,1,10.137082
7934768,Aquatic,0,0,1,0,0,5,4,1,10.13719902494791
6303191,Aquatic,0,0,1,0,0,5,4,1,10.13773289457465
5706600,Aquatic,0,0,1,0,0,5,4,5,10.13855796581597
10892034,Aquatic,0,0,0,1,0,5,4,13,10.13943157065972
3312237,Aquatic,0,0,0,0,0,6,5,4,10.1632085
4907210,Reptile,1,0,3,0,2,0,4,2,10.1632085
889030,Beast,0,6,0,0,0,0,6,4,10.1632085
11642556,Beast,1,2,0,3,0,0,4,1,10.1632085
5075028,Beast,0,6,0,0,0,0,4,7,10.1632085
6558143,Beast,0,6,0,0,0,0,4,7,10.1632085
5147513,Dusk,0,0,3,0,1,2,5,1,10.17704073705106
11745349,Dawn,0,2,0,1,1,2,4,2,10.18672235
8974564,Plant,5,0,1,0,0,0,4,2,10.189335
533437,Plant,6,0,0,0,0,0,4,1,10.189335
11918004,Plant,0,1,0,0,1,4,4,1,10.189335
9788854,Plant,6,0,0,0,0,0,4,2,10.189335
1638441,Plant,6,0,0,0,0,0,4,1,10.189335
11608816,Beast,1,4,0,0,0,1,4,2,10.189335
11802432,Plant,2,0,0,1,0,3,4,1,10.189335
11674103,Beast,0,2,1,2,1,0,4,6,10.189335
2804958,Plant,5,0,1,0,0,0,4,10,10.189335
9986967,Plant,4,0,1,0,1,0,4,2,10.189335
9284714,Mech,0,5,0,0,0,1,4,8,10.189335
11770106,Mech,0,0,1,0,1,4,4,1,10.189335
1996923,Plant,4,0,2,0,0,0,4,1,10.189335
11850874,Plant,3,1,1,0,1,0,4,8,10.189335
11674204,Mech,1,0,2,1,1,1,4,1,10.189335
10805697,Mech,0,4,0,2,0,0,4,7,10.189335
11894552,Plant,0,0,1,0,0,5,4,1,10.189335
11565858,Plant,1,5,0,0,0,0,4,1,10.189335
9887540,Plant,6,0,0,0,0,0,4,1,10.189335
11909814,Plant,1,0,1,1,0,3,4,1,10.189335
6716118,Plant,6,0,0,0,0,0,4,6,10.189335
2329644,Beast,0,6,0,0,0,0,4,10,10.189335
11646279,Beast,0,4,0,2,0,0,4,5,10.189335
11903335,Beast,0,2,3,0,0,1,4,1,10.189335
11891520,Beast,0,2,3,0,0,1,4,1,10.189335
11926294,Plant,0,0,0,0,1,5,4,1,10.189335
5800032,Plant,4,0,2,0,0,0,4,1,10.189335
11894208,Beast,0,5,0,0,0,1,4,1,10.189335
7446740,Beast,0,6,0,0,0,0,4,1,10.189335
341225,Beast,0,6,0,0,0,0,4,1,10.189335
6736093,Beast,0,6,0,0,0,0,4,1,10.189335
2036288,Plant,5,0,1,0,0,0,4,1,10.189335
1216935,Beast,0,6,0,0,0,0,4,9,10.189335
11779875,Plant,0,1,1,0,0,4,4,1,10.189335
11895241,Mech,0,1,0,1,1,3,4,3,10.189335
9971463,Mech,0,6,0,0,0,0,4,6,10.189335
9887189,Plant,6,0,0,0,0,0,4,8,10.189335
11780766,Mech,1,1,0,0,1,3,4,1,10.189335
9761193,Beast,0,5,0,1,0,0,4,6,10.189335
6788887,Bird,0,0,0,6,0,0,4,2,10.189335
4679670,Beast,0,6,0,0,0,0,4,1,10.189335
3721252,Aquatic,0,1,0,0,0,5,4,1,10.189335
324665,Aquatic,0,1,1,0,0,4,4,1,10.189335
6181281,Aquatic,0,0,2,0,1,3,4,1,10.189335
10891660,Aquatic,0,0,1,0,1,4,4,1,10.189335
4923390,Aquatic,0,0,0,0,0,6,4,2,10.189335
6363859,Aquatic,0,0,0,0,0,6,4,6,10.189335
6618405,Aquatic,0,0,0,0,0,6,4,1,10.189335
762735,Aquatic,0,0,0,0,0,6,4,1,10.189335
11894185,Aquatic,1,4,0,0,0,1,4,1,10.189335
11422389,Aquatic,0,2,2,1,1,0,4,1,10.189335
7670834,Aquatic,0,0,0,0,0,6,4,1,10.189335
1862444,Aquatic,0,0,1,0,0,5,4,4,10.189335
8817975,Aquatic,0,1,0,1,0,4,4,1,10.189335
7395438,Plant,4,0,1,0,0,1,5,1,10.189335
362824,Plant,6,0,0,0,0,0,5,3,10.189335
369360,Plant,6,0,0,0,0,0,5,3,10.189335
11819702,Dusk,0,0,0,3,2,1,4,1,10.189335
11669471,Dusk,0,0,0,1,1,4,4,1,10.189335
8263650,Dusk,0,0,3,0,1,2,4,1,10.189335
11742056,Dusk,0,1,0,1,2,2,4,1,10.189335
8310546,Dusk,0,0,3,2,1,0,4,7,10.189335
8828255,Dusk,0,5,0,0,1,0,4,1,10.189335
11578820,Dusk,0,0,2,4,0,0,4,1,10.189335
8020626,Plant,6,0,0,0,0,0,6,7,10.189335
11885807,Aquatic,0,3,2,1,0,0,4,1,10.189335
1603786,Beast,0,6,0,0,0,0,4,6,10.189335
5783726,Aquatic,0,0,2,0,0,4,4,1,10.189335
2238359,Aquatic,0,0,0,0,1,5,4,3,10.189335
11437522,Beast,0,4,0,0,1,1,4,1,10.189335
2679247,Beast,0,6,0,0,0,0,4,1,10.189335
308445,Aquatic,0,0,0,0,0,6,4,1,10.189335
10593393,Aquatic,0,1,0,0,0,5,4,1,10.189335
10290621,Aquatic,1,1,0,2,0,2,4,5,10.189335
11620502,Aquatic,0,0,1,4,1,0,4,5,10.189335
4915494,Plant,6,0,0,0,0,0,5,1,10.189335
11597730,Plant,6,0,0,0,0,0,5,5,10.189335
562980,Plant,6,0,0,0,0,0,5,1,10.189335
340160,Plant,6,0,0,0,0,0,5,1,10.189335
619027,Plant,6,0,0,0,0,0,5,1,10.189335
8164633,Aquatic,0,0,1,1,0,4,4,1,10.189335
1570642,Plant,5,0,1,0,0,0,4,1,10.189335
11862723,Reptile,0,1,1,0,1,3,4,1,10.189335
11909800,Reptile,0,1,0,0,2,3,4,1,10.189335
5887463,Reptile,0,1,3,0,1,1,4,1,10.189335
5301867,Reptile,1,1,0,1,3,0,4,1,10.189335
1972654,Reptile,0,0,0,0,5,1,4,2,10.189335
7195121,Reptile,1,0,3,0,1,1,4,1,10.189335
11720724,Aquatic,1,1,0,1,2,1,4,1,10.189335
1645754,Aquatic,0,0,0,0,0,6,4,1,10.189335
4443122,Aquatic,0,0,0,0,0,6,4,5,10.189335
10032377,Aquatic,0,1,1,0,0,4,4,1,10.189335
11490399,Aquatic,0,0,0,2,2,2,4,1,10.189335
957554,Reptile,0,0,3,0,2,1,4,1,10.189335
7026079,Reptile,0,0,1,1,3,1,4,1,10.189335
1564489,Plant,6,0,0,0,0,0,4,1,10.189335
1343399,Beast,0,6,0,0,0,0,5,3,10.189335
11821968,Aquatic,0,2,1,0,0,3,5,1,10.189335
1214892,Aquatic,0,0,0,0,0,6,5,1,10.189335
9646210,Aquatic,0,1,0,0,0,5,5,3,10.189335
278866,Bird,0,0,0,6,0,0,4,3,10.189335
4095280,Aquatic,0,0,0,0,0,6,5,6,10.189335
5798197,Aquatic,0,0,0,1,1,4,5,1,10.189335
11664969,Aquatic,1,1,1,0,1,2,6,1,10.189335
11633118,Bird,0,2,0,2,0,2,4,1,10.189335
3277922,Aquatic,0,0,0,0,0,6,5,1,10.189335
1711582,Bird,0,0,0,6,0,0,4,1,10.189335
7535714,Dusk,0,0,3,1,0,2,5,1,10.189335
11760785,Beast,4,0,1,0,0,1,5,4,10.189335
11673761,Bird,0,2,2,1,0,1,4,1,10.189335
721797,Beast,1,4,0,0,1,0,5,1,10.189335
448354,Bird,0,0,0,6,0,0,4,1,10.189335
10653602,Bird,0,0,0,6,0,0,4,1,10.189335
11504704,Beast,0,5,0,0,1,0,6,2,10.189335
11516590,Bug,0,1,4,1,0,0,4,1,10.189335
11896085,Bug,1,1,3,1,0,0,4,1,10.189335
11833811,Bug,0,1,0,0,3,2,4,1,10.189335
4741667,Dusk,0,0,3,0,1,2,6,1,10.189335
8233875,Dusk,0,0,4,0,0,2,6,1,10.189335
9125144,Bird,0,0,0,6,0,0,4,1,10.189335
9265001,Bird,0,0,0,6,0,0,4,8,10.189335
323849,Plant,5,1,0,0,0,0,4,1,10.19784495372596
7575213,Aquatic,0,0,0,1,0,5,4,1,10.2154615
5572302,Beast,0,6,0,0,0,0,5,1,10.23211559025043
9004273,Plant,5,0,1,0,0,0,4,1,10.27891911079
9378048,Plant,5,0,1,0,0,0,4,1,10.2789191891695
9863418,Plant,4,0,1,0,1,0,5,1,10.31512547938368
11835989,Dusk,2,0,0,0,4,0,4,1,10.3199675
9187798,Aquatic,0,0,0,0,0,6,4,1,10.3199675
8209616,Aquatic,0,1,0,0,0,5,4,9,10.3199675
4682750,Plant,2,1,1,0,2,0,4,1,10.3199675
9070145,Plant,6,0,0,0,0,0,5,1,10.3199675
2807999,Beast,0,4,0,1,0,1,4,6,10.346094
4133417,Beast,0,6,0,0,0,0,4,1,10.35929480652204
651271,Plant,5,0,0,0,0,1,5,1,10.35970521741723
11511251,Beast,0,6,0,0,0,0,4,8,10.388784701
9978873,Plant,4,1,0,0,0,1,4,1,10.39759536938363
401433,Plant,4,0,2,0,0,0,4,4,10.398347
8793556,Aquatic,0,0,0,0,0,6,4,1,10.398347
417741,Plant,6,0,0,0,0,0,4,3,10.398347
9845471,Plant,4,0,1,0,1,0,4,4,10.398347
8284047,Aquatic,0,0,0,0,0,6,5,4,10.398347
11555045,Aquatic,0,0,0,0,0,6,4,1,10.398347
904501,Aquatic,0,0,0,0,0,6,5,5,10.40512737949472
5103571,Plant,6,0,0,0,0,0,4,1,10.41627126212084
11769838,Beast,0,5,0,0,1,0,4,3,10.421547332
11490898,Beast,0,4,0,1,1,0,5,1,10.4244735
11915097,Reptile,0,1,0,1,4,0,4,1,10.4244735
6981428,Aquatic,0,1,0,0,1,4,4,6,10.4244735
8392551,Aquatic,0,0,0,0,0,6,4,5,10.4244735
1920917,Aquatic,0,0,0,0,0,6,4,1,10.4244735
11720626,Beast,0,5,0,1,0,0,4,4,10.4244735
11771942,Beast,0,4,0,0,0,2,4,6,10.4244735
11763774,Dawn,1,1,0,0,1,3,4,3,10.4244735
7095914,Aquatic,0,0,0,0,0,6,4,9,10.4244735
10951219,Aquatic,0,1,0,0,0,5,4,1,10.4244735
9580309,Plant,6,0,0,0,0,0,4,7,10.4244735
1442193,Plant,5,0,0,1,0,0,4,2,10.4244735
9147634,Aquatic,0,0,0,0,0,6,6,1,10.4244735
7920620,Aquatic,0,1,0,0,0,5,4,9,10.4244735
8492355,Aquatic,0,0,1,0,0,5,4,1,10.4244735
458325,Plant,6,0,0,0,0,0,4,2,10.4330691185
8076478,Aquatic,0,0,2,0,0,4,5,1,10.44309203313802
8447684,Plant,6,0,0,0,0,0,6,1,10.44798735
11536552,Plant,5,1,0,0,0,0,4,9,10.44798735
11386238,Plant,3,0,0,0,0,3,6,1,10.44798735
8038372,Beast,0,4,0,1,1,0,4,5,10.44798735
3813112,Beast,0,6,0,0,0,0,4,1,10.45055565836808
11733300,Mech,0,1,1,1,1,2,4,3,10.45059738735
9673567,Beast,0,4,0,1,0,1,4,7,10.450599738735
9777600,Bird,0,0,0,6,0,0,4,6,10.4505999738735
11689854,Dusk,0,2,2,1,0,1,4,2,10.4505999738735
11715443,Aquatic,0,4,0,0,0,2,4,3,10.45059999997387
6252363,Plant,5,0,1,0,0,0,4,1,10.45059999999999
2569246,Aquatic,0,0,0,0,0,6,4,1,10.4506
7787898,Aquatic,0,0,0,0,0,6,4,1,10.4506
1053350,Aquatic,0,0,0,0,0,6,4,9,10.4506
3505393,Aquatic,0,0,0,0,0,6,4,1,10.4506
4758430,Aquatic,0,0,0,0,0,6,4,1,10.4506
5677329,Aquatic,0,0,0,0,0,6,4,3,10.4506
4265296,Aquatic,0,0,0,1,0,5,4,1,10.4506
3950314,Aquatic,0,0,0,0,0,6,4,5,10.4506
7341430,Aquatic,0,0,0,1,0,5,4,5,10.4506
4587831,Aquatic,0,1,0,0,0,5,4,4,10.4506
8312152,Aquatic,0,0,0,0,0,6,4,6,10.4506
5958763,Aquatic,0,0,0,0,0,6,4,6,10.4506
8931015,Mech,0,5,1,0,0,0,5,1,10.4506
11727048,Mech,0,1,0,1,1,3,5,1,10.4506
5551122,Aquatic,0,0,0,0,0,6,4,1,10.4506
4509864,Aquatic,0,1,0,0,0,5,4,1,10.4506
806279,Aquatic,0,0,0,0,0,6,4,1,10.4506
3944856,Aquatic,0,0,0,0,0,6,4,1,10.4506
1257004,Aquatic,0,0,0,0,0,6,4,10,10.4506
4238617,Aquatic,0,2,0,2,0,2,4,7,10.4506
449284,Aquatic,4,0,0,0,0,2,4,7,10.4506
6609321,Aquatic,0,0,4,2,0,0,4,1,10.4506
2571523,Aquatic,0,0,0,0,0,6,4,2,10.4506
3022396,Aquatic,0,0,0,0,0,6,4,8,10.4506
3063767,Aquatic,0,0,0,0,0,6,4,8,10.4506
11876201,Aquatic,0,1,0,5,0,0,4,1,10.4506
7351394,Aquatic,0,0,0,0,0,6,4,3,10.4506
9344763,Aquatic,1,1,0,2,0,2,4,1,10.4506
5851308,Aquatic,0,0,0,0,0,6,4,1,10.4506
536214,Aquatic,0,0,0,0,0,6,4,8,10.4506
3865050,Aquatic,1,0,0,0,0,5,4,1,10.4506
925600,Aquatic,0,0,1,0,0,5,4,1,10.4506
4747748,Aquatic,0,0,0,0,0,6,4,1,10.4506
5100219,Aquatic,0,1,0,0,0,5,4,4,10.4506
315307,Aquatic,0,0,1,2,0,3,4,1,10.4506
3622687,Aquatic,0,0,0,0,0,6,4,2,10.4506
2697705,Aquatic,0,0,0,0,0,6,4,3,10.4506
256449,Aquatic,0,0,0,0,0,6,4,5,10.4506
3040065,Aquatic,0,0,0,0,0,6,4,2,10.4506
6467638,Aquatic,0,0,0,0,0,6,4,1,10.4506
3155357,Aquatic,0,0,0,0,0,6,4,1,10.4506
8398696,Aquatic,0,0,0,0,0,6,4,1,10.4506
1044864,Aquatic,0,0,0,0,0,6,4,1,10.4506
3758339,Aquatic,0,0,0,0,0,6,4,5,10.4506
404072,Aquatic,0,0,0,0,0,6,4,1,10.4506
5878795,Aquatic,0,0,0,0,0,6,4,1,10.4506
7700591,Aquatic,0,0,0,0,0,6,4,1,10.4506
6278871,Aquatic,0,0,0,0,0,6,4,1,10.4506
6773193,Aquatic,0,0,0,0,0,6,4,1,10.4506
8225187,Aquatic,0,1,0,1,0,4,4,2,10.4506
10976729,Aquatic,0,0,1,0,0,5,4,3,10.4506
8151807,Aquatic,0,0,0,0,0,6,4,1,10.4506
8857741,Aquatic,1,0,0,0,0,5,4,1,10.4506
7172529,Aquatic,0,0,0,0,0,6,4,5,10.4506
5886304,Aquatic,0,1,1,0,0,4,4,1,10.4506
7730172,Aquatic,0,0,0,0,0,6,4,8,10.4506
11808917,Aquatic,1,0,1,1,1,2,4,6,10.4506
10147260,Aquatic,0,1,0,0,0,5,4,2,10.4506
4212769,Aquatic,0,0,0,0,0,6,4,4,10.4506
8451513,Aquatic,0,0,0,0,0,6,4,2,10.4506
11748139,Aquatic,0,1,0,0,1,4,4,1,10.4506
11949479,Aquatic,1,0,2,1,1,1,4,8,10.4506
8813750,Aquatic,1,0,0,1,0,4,4,2,10.4506
8134819,Aquatic,0,1,0,1,0,4,4,2,10.4506
427793,Aquatic,0,0,0,0,1,5,4,1,10.4506
9487623,Aquatic,0,2,0,0,0,4,4,1,10.4506
7780930,Aquatic,0,0,0,0,0,6,4,1,10.4506
11559379,Aquatic,0,0,0,1,0,5,4,3,10.4506
11557511,Aquatic,0,1,0,0,0,5,4,1,10.4506
1192924,Aquatic,0,0,0,0,1,5,4,1,10.4506
6974873,Aquatic,0,2,1,0,0,3,4,5,10.4506
2572779,Aquatic,1,1,0,0,0,4,4,1,10.4506
11693043,Aquatic,0,0,1,0,0,5,4,8,10.4506
11381769,Aquatic,1,0,0,1,3,1,4,2,10.4506
1453454,Aquatic,0,0,0,0,0,6,4,1,10.4506
11738801,Mech,0,2,1,2,1,0,5,1,10.4506
2112685,Aquatic,0,0,0,0,0,6,4,1,10.4506
6942238,Aquatic,0,0,0,1,1,4,4,1,10.4506
9778974,Aquatic,0,0,1,0,0,5,4,7,10.4506
11896541,Aquatic,0,2,0,0,0,4,4,8,10.4506
4419863,Aquatic,0,0,0,1,0,5,4,8,10.4506
2133971,Aquatic,0,0,0,0,0,6,4,1,10.4506
6126536,Aquatic,0,0,0,0,0,6,4,1,10.4506
6430143,Aquatic,0,1,0,0,0,5,4,1,10.4506
1671732,Aquatic,0,0,0,0,0,6,4,1,10.4506
3934152,Aquatic,0,0,1,0,0,5,4,4,10.4506
11503073,Aquatic,0,1,0,0,0,5,4,5,10.4506
415421,Aquatic,1,0,2,0,1,2,4,5,10.4506
6557113,Aquatic,0,0,0,1,0,5,4,1,10.4506
8535673,Aquatic,0,0,0,0,0,6,4,7,10.4506
10156116,Aquatic,0,1,0,0,0,5,4,1,10.4506
2706927,Aquatic,0,0,0,0,0,6,4,1,10.4506
11664727,Mech,0,1,2,1,1,1,5,1,10.4506
11714126,Mech,0,1,2,0,2,1,4,5,10.4506
5673584,Mech,0,6,0,0,0,0,5,7,10.4506
11653607,Dawn,2,2,2,0,0,0,4,1,10.4506
10761512,Bird,0,0,0,6,0,0,4,1,10.4506
10761701,Bird,0,0,0,6,0,0,4,1,10.4506
2327081,Bird,0,0,0,6,0,0,4,1,10.4506
9493095,Plant,6,0,0,0,0,0,5,5,10.4506
8922808,Plant,6,0,0,0,0,0,5,1,10.4506
7287838,Plant,3,0,2,0,1,0,5,4,10.4506
8772786,Plant,5,1,0,0,0,0,5,5,10.4506
5581975,Plant,6,0,0,0,0,0,5,1,10.4506
153182,Plant,5,0,0,0,1,0,5,4,10.4506
4515000,Plant,5,0,0,0,0,1,5,7,10.4506
11736024,Plant,5,0,0,1,0,0,5,1,10.4506
953995,Plant,6,0,0,0,0,0,5,1,10.4506
2076291,Plant,6,0,0,0,0,0,5,1,10.4506
3859048,Plant,6,0,0,0,0,0,5,1,10.4506
5649633,Plant,5,0,1,0,0,0,5,1,10.4506
505431,Plant,6,0,0,0,0,0,5,9,10.4506
2307599,Plant,6,0,0,0,0,0,5,1,10.4506
8545176,Bird,0,0,0,5,0,1,4,1,10.4506
5529196,Bird,0,0,0,6,0,0,4,1,10.4506
4149470,Bird,0,0,0,6,0,0,4,6,10.4506
11606171,Bird,0,0,0,1,0,5,4,6,10.4506
8980241,Bird,0,1,0,4,0,1,4,1,10.4506
9286725,Bird,0,0,0,6,0,0,4,1,10.4506
466117,Bird,0,0,0,6,0,0,4,1,10.4506
10124976,Bird,0,0,0,6,0,0,4,1,10.4506
8460024,Dusk,0,1,1,1,2,1,5,4,10.4506
11599304,Mech,0,2,0,1,2,1,4,5,10.4506
9676231,Mech,0,6,0,0,0,0,4,1,10.4506
8398944,Mech,0,3,0,1,1,1,4,1,10.4506
11610704,Mech,2,1,2,0,1,0,4,1,10.4506
8181599,Mech,0,5,0,0,0,1,4,1,10.4506
7870536,Mech,0,6,0,0,0,0,4,1,10.4506
228615,Bird,0,0,0,6,0,0,4,7,10.4506
9996533,Bird,1,1,0,4,0,0,4,2,10.4506
10762637,Bird,0,0,0,6,0,0,4,1,10.4506
10635917,Bird,0,0,0,6,0,0,4,1,10.4506
10761364,Bird,0,0,0,6,0,0,4,1,10.4506
9135221,Bird,0,1,0,5,0,0,4,1,10.4506
6899420,Dusk,3,1,0,1,1,0,5,1,10.4506
10589461,Bird,0,0,0,6,0,0,4,1,10.4506
8653086,Bird,1,1,0,4,0,0,4,3,10.4506
10553843,Bird,0,1,0,4,0,1,4,1,10.4506
7502540,Dusk,0,0,2,1,2,1,5,1,10.4506
6102960,Dusk,2,0,1,1,2,0,5,6,10.4506
7969347,Dusk,1,0,4,0,0,1,5,1,10.4506
8288320,Dusk,0,0,1,1,4,0,5,4,10.4506
6534402,Dusk,0,0,3,0,2,1,5,1,10.4506
5867133,Dusk,2,0,1,1,2,0,5,1,10.4506
8165724,Dusk,0,2,3,0,1,0,5,1,10.4506
5630813,Dusk,1,0,3,0,1,1,5,1,10.4506
10588305,Bird,0,0,0,6,0,0,4,1,10.4506
1371969,Bird,0,0,0,5,0,1,4,1,10.4506
10596238,Bird,0,0,0,6,0,0,4,1,10.4506
9893089,Bird,0,0,0,6,0,0,4,1,10.4506
11808863,Aquatic,3,1,0,0,0,2,4,9,10.4506
8572927,Aquatic,0,0,0,1,0,5,4,2,10.4506
11869533,Aquatic,0,0,2,0,0,4,4,6,10.4506
4389518,Aquatic,0,0,0,1,0,5,4,1,10.4506
3879238,Aquatic,0,0,0,0,0,6,4,3,10.4506
11625244,Aquatic,0,0,0,0,1,5,4,1,10.4506
3954369,Aquatic,0,0,0,0,0,6,4,2,10.4506
11642155,Aquatic,0,1,0,4,0,1,4,8,10.4506
11509743,Aquatic,0,0,0,0,0,6,4,4,10.4506
6796490,Aquatic,0,0,0,0,0,6,4,1,10.4506
1253784,Aquatic,0,0,1,0,0,5,4,8,10.4506
5118488,Aquatic,0,0,0,0,0,6,4,1,10.4506
7110599,Aquatic,0,2,0,0,0,4,4,6,10.4506
2129749,Aquatic,0,0,0,0,0,6,4,1,10.4506
305198,Aquatic,1,0,0,0,0,5,4,2,10.4506
6380176,Aquatic,0,0,0,0,0,6,4,1,10.4506
8330800,Aquatic,0,0,2,0,0,4,4,1,10.4506
697331,Aquatic,0,0,0,0,0,6,4,1,10.4506
869063,Aquatic,0,0,0,0,0,6,4,1,10.4506
11666384,Aquatic,0,0,1,1,0,4,4,1,10.4506
11710010,Dusk,0,0,3,1,0,2,6,1,10.4506
11779505,Dawn,0,3,1,0,1,1,4,6,10.4506
11787830,Mech,1,2,1,0,0,2,5,1,10.4506
8698894,Mech,0,4,1,1,0,0,5,1,10.4506
7717086,Aquatic,0,0,0,0,0,6,4,1,10.4506
11619012,Mech,0,2,1,1,0,2,5,5,10.4506
6842208,Aquatic,0,1,0,0,0,5,4,7,10.4506
5318134,Aquatic,0,0,0,0,0,6,4,7,10.4506
9518505,Bird,0,0,0,5,0,1,4,1,10.4506
10761495,Bird,0,0,0,6,0,0,4,1,10.4506
10669319,Bird,0,0,0,6,0,0,4,1,10.4506
10762770,Bird,0,0,0,6,0,0,4,1,10.4506
10350846,Bird,0,0,0,6,0,0,4,1,10.4506
517441,Bird,0,0,0,6,0,0,4,1,10.4506
1201060,Bird,0,0,0,6,0,0,4,1,10.4506
5941053,Bird,0,0,0,6,0,0,4,1,10.4506
423497,Bird,0,0,0,6,0,0,4,1,10.4506
546834,Bird,0,0,0,6,0,0,4,7,10.4506
834554,Bird,0,0,0,6,0,0,4,1,10.4506
192774,Aquatic,0,0,0,0,1,5,4,8,10.4506
5390069,Bird,0,0,0,6,0,0,4,1,10.4506
11718909,Reptile,1,0,2,0,0,3,5,1,10.4506
3441403,Reptile,0,2,0,1,3,0,5,2,10.4506
11906103,Bug,1,1,2,1,1,0,5,3,10.4506
11558911,Bug,0,4,1,0,0,1,5,1,10.4506
11793247,Bug,0,5,0,0,1,0,5,2,10.4506
11697923,Bug,2,0,0,1,2,1,5,1,10.4506
11606312,Dawn,0,0,1,2,0,3,4,4,10.4506
7609653,Aquatic,0,1,0,0,0,5,4,9,10.4506
154074,Aquatic,2,0,1,2,0,1,4,2,10.4506
7797339,Aquatic,0,1,0,1,0,4,4,5,10.4506
7184760,Aquatic,0,0,0,0,0,6,4,8,10.4506
5726774,Bird,0,0,0,6,0,0,4,2,10.4506
8022453,Aquatic,0,0,1,1,0,4,4,1,10.4506
5898632,Aquatic,0,0,0,0,0,6,4,1,10.4506
7295075,Aquatic,0,0,0,0,0,6,4,5,10.4506
9924195,Dusk,0,0,5,0,1,0,4,1,10.4506
7665974,Dusk,0,0,3,2,0,1,4,1,10.4506
7156982,Dusk,0,0,3,2,1,0,4,6,10.4506
7930706,Dusk,0,0,4,0,0,2,4,5,10.4506
7929747,Dusk,1,0,2,2,1,0,4,2,10.4506
8756181,Dusk,1,0,3,0,1,1,4,1,10.4506
